date,gangsu,ondo,snow,price
2016-03-24,0,5.5,0,730
2016-03-25,0,5.5,0,730
2016-03-28,0,8.2,0,740
2016-03-29,0,10.2,0,780
2016-03-30,0,13.4,0,810
2016-03-31,0,12.5,0,830
2016-04-01,0,13.8,0,840
2016-04-04,1,12.4,0,880
2016-04-05,0,11.9,0,960
2016-04-06,33,10.9,0,970
2016-04-07,24.5,12,0,1020
2016-04-08,0,13.8,0,1020
2016-04-11,0,13.6,0,1030
2016-04-12,0,14.2,0,1000
2016-04-14,0,16.3,0,990
2016-04-15,0,14.6,0,990
2016-04-18,0,12.6,0,990
2016-04-19,0,12.5,0,940
2016-04-20,0.1,14.5,0,930
2016-04-21,33.4,14.2,0,900
2016-04-22,0,18,0,870
2016-04-25,0,16.7,0,890
2016-04-26,3.6,17.7,0,930
2016-04-27,25.8,12.9,0,970
2016-04-28,4.5,13.7,0,1000
2016-04-29,0,14.2,0,1070
2016-05-02,0.7,18.3,0,1090
2016-05-03,10.7,15.4,0,1080
2016-05-04,0,15.2,0,1070
2016-05-09,0,17.5,0,1050
2016-05-10,22,14.2,0,1050
2016-05-11,0.2,17.1,0,1050
2016-05-12,0,19.1,0,1040
2016-05-13,0,17,0,990
2016-05-16,17.4,13.6,0,950
2016-05-17,0,17,0,920
2016-05-18,0,20.6,0,910
2016-05-19,0,19.9,0,850
2016-05-20,0,20.2,0,830
2016-05-23,0,21.8,0,730
2016-05-24,26.6,17.7,0,730
2016-05-25,0,18.4,0,730
2016-05-26,0,20.7,0,685
2016-05-27,0,22.8,0,660
2016-05-30,0,20.8,0,665
2016-05-31,0,21.1,0,640
2016-06-01,0,21.9,0,625
2016-06-02,0,21.5,0,600
2016-06-03,0,21.6,0,575
2016-06-07,0,21.4,0,575
2016-06-08,0,21.8,0,570
2016-06-09,0,22.9,0,550
2016-06-10,0,23.4,0,530
2016-06-13,0,24,0,520
2016-06-14,0,23.3,0,510
2016-06-15,13.8,21.5,0,510
2016-06-16,0,21.6,0,530
2016-06-17,0,22.7,0,550
2016-06-20,6.3,21.9,0,550
2016-06-21,0.2,24.6,0,560
2016-06-22,4.9,22.2,0,610
2016-06-23,0,24.8,0,700
2016-06-24,41.5,21.6,0,660
2016-06-27,0,21.1,0,620
2016-06-28,0,22.2,0,560
2016-06-29,0.3,22.4,0,550
2016-06-30,0,24.3,0,550
2016-07-01,31.9,24.8,0,570
2016-07-04,1,25.1,0,700
2016-07-05,38.4,27.5,0,720
2016-07-06,81.5,26.1,0,700
2016-07-07,0,25.4,0,710
2016-07-08,0,25.3,0,670
2016-07-11,0.4,25.1,0,570
2016-07-12,8.1,24.8,0,560
2016-07-13,0.1,25.8,0,570
2016-07-14,0,25.5,0,570
2016-07-15,0,25.6,0,580
2016-07-18,0,23.4,0,640
2016-07-19,5.6,24.7,0,590
2016-07-20,0,26,0,600
2016-07-21,0,26.1,0,610
2016-07-22,0,26.2,0,610
2016-07-25,0,28.9,0,610
2016-07-26,0,29.2,0,650
2016-07-27,5,28.1,0,630
2016-07-28,5.5,28.1,0,630
2016-07-29,0,29.1,0,610
2016-08-01,0,28.3,0,585
2016-08-02,0.3,26.7,0,595
2016-08-03,0,26.5,0,595
2016-08-04,0,28.2,0,600
2016-08-05,0,28.4,0,625
2016-08-08,51.1,26.3,0,625
2016-08-09,1.4,27.1,0,640
2016-08-10,0,28.6,0,635
2016-08-11,0,29.3,0,700
2016-08-12,0,29.3,0,670
2016-08-16,0,28.1,0,720
2016-08-17,0,27.5,0,780
2016-08-18,0,27.9,0,780
2016-08-19,0,27.7,0,810
2016-08-22,0,28.4,0,850
2016-08-23,13.1,27.4,0,860
2016-08-24,0,27.6,0,890
2016-08-25,0,26.6,0,950
2016-08-26,8.9,21.8,0,980
2016-08-29,0,19.9,0,1060
2016-08-30,0.1,20.1,0,1150
2016-08-31,0.4,23.5,0,1260
2016-09-01,0,25.5,0,1440
2016-09-02,20.4,20.1,0,1350
2016-09-05,0,24.9,0,1280
2016-09-06,0,22.8,0,1220
2016-09-07,1.1,22.4,0,1140
2016-09-08,0,22.3,0,1130
2016-09-09,0,22.3,0,1110
2016-09-12,6.3,21.1,0,1160
2016-09-13,0,22.3,0,1300
2016-09-19,0,20.7,0,1090
2016-09-20,0,19.7,0,1190
2016-09-21,0,18.8,0,1140
2016-09-22,0,20,0,1120
2016-09-23,0,20.8,0,1090
2016-09-26,2.8,22.6,0,1100
2016-09-27,11.8,24.6,0,1150
2016-09-28,5.6,21.2,0,1210
2016-09-29,1.7,19.4,0,1180
2016-09-30,18.5,17.6,0,1150
2016-10-04,0.1,21.8,0,1300
2016-10-05,63.8,19.2,0,1390
2016-10-06,0,18.3,0,1500
2016-10-07,5.3,16.9,0,1550
2016-10-10,0,13.2,0,1590
2016-10-11,0,14,0,1460
2016-10-12,0,14.4,0,1390
2016-10-13,0,14,0,1360
2016-10-14,0,14.9,0,1310
2016-10-17,1.5,17.7,0,1310
2016-10-18,0,16.7,0,1270
2016-10-19,0,15.9,0,1240
2016-10-20,0,16.1,0,1250
2016-10-21,0,17.1,0,1270
2016-10-24,0,15.6,0,1250
2016-10-25,10.3,15.3,0,1250
2016-10-26,0,14.1,0,1270
2016-10-27,0,13.7,0,1300
2016-10-28,3.4,13.7,0,1300
2016-10-31,0.1,8.1,0,1000
2016-11-01,0,4.7,0,900
2016-11-02,0,4.8,0,895
2016-11-03,0.1,7.3,0,860
2016-11-04,0,7.8,0,855
2016-11-07,0,14.2,0,855
2016-11-08,0.8,8.2,0,840
2016-11-09,0,3.8,0,860
2016-11-10,2.9,7.2,0,840
