date,uga,sun,ondo,price
2016-05-03,43.03,8.97,15.5,840
2016-05-04,42.05,22.91,15.8,780
2016-05-09,42.84,6.25,16.7,730
2016-05-10,41.23,2.35,13.8,730
2016-05-11,42.18,21.95,16,740
2016-05-12,44.65,23.72,17.9,730
2016-05-13,44.39,16.9,16.1,700
2016-05-16,45.35,21.13,15.1,680
2016-05-17,45.68,24.16,17.2,680
2016-05-18,45.76,22.67,20.2,680
2016-05-19,44.75,21.96,20.4,690
2016-05-20,45.65,23.81,21.2,690
2016-05-23,44.87,20.34,22.5,690
2016-05-24,44.55,6.52,18.4,690
2016-05-25,45.27,22.88,19.3,690
2016-05-26,45.74,16.35,20.3,730
2016-05-27,45.31,14.84,21.1,730
2016-05-30,45.54,24,20.7,750
2016-05-31,45.9,16.33,20,750
2016-06-01,45.44,20.89,21.6,730
2016-06-01,45.44,20.89,21.6,730
2016-06-02,46.17,22.58,20.1,730
2016-06-02,46.17,22.58,20.1,730
2016-06-03,46.28,17.91,21.5,730
2016-06-03,46.28,17.91,21.5,730
2016-06-07,46.82,8.77,20.4,750
2016-06-07,46.82,8.77,20.4,750
2016-06-08,47.99,15.87,21.2,760
2016-06-08,47.99,15.87,21.2,760
2016-06-09,48.98,20.86,22.1,760
2016-06-09,48.98,20.86,22.1,760
2016-06-10,48.23,20.25,23.1,760
2016-06-10,48.23,20.25,23.1,760
2016-06-13,47.06,22.17,22,750
2016-06-13,47.06,22.17,22,750
2016-06-14,46.3,19.58,21.8,750
2016-06-14,46.3,19.58,21.8,750
2016-06-15,46.09,7.07,22.2,750
2016-06-15,46.09,7.07,22.2,750
2016-06-16,44.93,13.48,20.9,750
2016-06-16,44.93,13.48,20.9,750
2016-06-17,44.48,22.74,21.9,740
2016-06-17,44.48,22.74,21.9,740
2016-06-20,46.53,5.39,23,700
2016-06-20,46.53,5.39,23,700
2016-06-21,46.4,18.64,24,700
2016-06-21,46.4,18.64,24,700
2016-06-22,47.12,3.51,22.2,700
2016-06-22,47.12,3.51,22.2,700
2016-06-23,46.48,15.7,24.1,700
2016-06-23,46.48,15.7,24.1,700
2016-06-24,45.47,8.47,22.5,700
2016-06-24,45.47,8.47,22.5,700
2016-06-27,45.11,6.28,21.4,690
2016-06-27,45.11,6.28,21.4,690
2016-06-28,44.55,9.91,22,690
2016-06-28,44.55,9.91,22,690
2016-06-29,45.73,9.74,22.6,690
2016-06-29,45.73,9.74,22.6,690
2016-06-30,46.46,11.73,24.2,690
2016-06-30,46.46,11.73,24.2,690
2016-07-01,45.19,3.61,24.5,690
2016-07-04,46.97,4.79,25.1,700
2016-07-05,45.01,13.08,26.8,700
2016-07-06,45,6.74,25.8,700
2016-07-07,44.99,14.29,26.2,700
2016-07-08,42.5,13.67,25.7,680
2016-07-11,41.97,8.68,24.6,680
2016-07-12,42.58,4.98,23.5,680
2016-07-13,43.41,13.9,25.3,690
2016-07-14,42.31,19.07,24.4,690
2016-07-15,42.59,19.18,25.2,690
2016-07-18,43.38,17.95,24.3,700
2016-07-19,42.21,20.69,26.2,700
2016-07-20,42.24,22.11,26.6,700
2016-07-21,42.73,22.21,26.2,700
2016-07-22,41.63,20.71,26.5,720
2016-07-25,41.38,21.97,28.9,720
2016-07-26,40.37,19.83,28.6,740
2016-07-27,40.59,12.01,28.4,740
2016-07-28,39.88,17.02,29,760
2016-07-29,38.64,18.35,30.1,760
2016-08-01,40.04,21.64,29,760
2016-08-02,38.85,9.38,27.7,750
2016-08-03,38.54,9.33,27.1,780
2016-08-04,39.99,17.27,28.9,790
2016-08-05,41.22,14.8,28.9,800
2016-08-08,41.59,20.86,28.8,810
2016-08-09,42.055,14.93,29.1,810
2016-08-10,41.34,17.58,29.3,810
2016-08-11,40.49,21.37,30.3,810
2016-08-12,42.89,21.72,29.8,810
2016-08-16,45.74,18.45,28.1,800
2016-08-17,45.85,18.31,28,800
2016-08-18,46.65,19.56,29.4,800
2016-08-19,47.26,16.98,29.8,800
2016-08-22,46.85,18.35,28.8,830
2016-08-23,45.38,17.12,28.3,840
2016-08-24,45.96,19.95,28.8,840
2016-08-25,45.59,20.12,28.5,840
2016-08-26,44.62,8.93,26,860
2016-08-29,45.82,21.22,22.8,860
2016-08-30,46.16,17.61,23.7,880
2016-08-31,44.79,18.44,24.8,910
2016-09-01,42.98,18.04,27,910
2016-09-02,41.71,9.32,23.4,910
2016-09-05,44.28,12.98,25.6,910
2016-09-06,43.4,5.82,23.6,910
2016-09-07,43.67,5.14,23.6,920
2016-09-08,44.83,17.62,23.9,920
2016-09-09,45.45,17.26,24.2,910
2016-09-12,43.745,12.98,23.9,910
2016-09-13,43.69,15.86,24.5,920
2016-09-19,42.43,9.59,21.6,920
2016-09-20,41.99,18.7,20.6,920
2016-09-21,43.08,10.64,20.6,940
2016-09-22,43.58,15.74,21.3,940
2016-09-23,43.39,15.37,21,940
2016-09-26,42.15,9.59,24.2,930
2016-09-27,43.13,16.1,25.8,930
2016-09-28,42.37,2.67,21.3,920
2016-09-29,44.65,3.28,20.7,920
2016-09-30,45.11,2.7,18.5,920
2016-10-04,47.83,13.66,23.7,920
2016-10-05,48.83,8.6,21.3,970
2016-10-06,48.77,16.6,19.7,970
2016-10-07,50.07,3.82,18.6,970
2016-10-10,48.9,8.97,14.3,970
2016-10-11,50.01,6.52,15.8,970
2016-10-12,50.03,11.9,16.9,970
2016-10-13,49.07,5.74,15.4,970
2016-10-14,49.88,14.81,17.4,970
2016-10-17,49.12,9.39,19,970
2016-10-18,49.23,11.2,17.6,980
2016-10-19,49.67,11.2,18.4,980
2016-10-20,49.66,5.97,17.1,980
2016-10-21,48.82,2.7,17.7,980
2016-10-24,49.48,6.91,16.7,980
2016-10-25,49.2,5.65,17.1,980
2016-10-26,47.91,6.47,15.3,980
2016-10-27,48.16,5.67,16.3,980
2016-10-28,48.4,2.88,14.9,980
2016-10-31,47.44,3.11,10.4,980
2016-11-01,45.42,8.35,7.2,980
2016-11-02,44.08,12.32,7.6,980
2016-11-03,43.52,11.36,11,980
2016-11-04,42.84,11.9,12.3,980
2016-11-07,42.69,8.62,15.3,990
2016-11-08,42.87,8.08,9.7,1040
2016-11-09,42.57,12.23,6.1,1040
2016-11-10,43.67,2,7.9,1040
2016-11-11,43.7,10.27,11.3,1040
2016-11-14,41.95,2.71,15.8,1040
2016-11-15,41.97,11.08,10.5,1040
2016-11-16,43.45,11.17,8.3,1050
2016-11-17,43.47,8.22,11.8,1050
2016-11-18,42.8,2.45,13,1050
2016-11-21,44.47,2.67,13,1050
2016-11-22,46.08,4,7.9,1050
2016-11-23,46.07,9.25,4.9,1050
2016-11-24,45.67,9.35,3.7,1050
2016-11-25,45.97,7.24,4.7,1030
2016-11-28,43.76,8.84,7.1,1030
2016-11-29,44.65,9.96,5.5,1030
2016-11-30,44.12,2.14,6.6,1030
2016-12-01,49.02,8.3,8.4,1030
2016-12-05,51.64,6.51,9.8,1040
2016-12-06,51.65,9.28,4.2,1070
2016-12-07,50.35,5,5.2,1060
2016-12-08,50.3,8.56,7.4,1060
2016-12-09,51.32,7.57,6.9,1060
2016-12-12,54.18,3.64,7.6,1060
2016-12-13,52.85,4.5,7.1,1060
2016-12-14,52.69,2.57,4,1070
2016-12-15,51.65,5.46,2.6,1070
2016-12-16,51.69,8.34,2.4,1060
2016-12-19,52.86,2.09,10.7,1060
2016-12-20,52.09,8.51,8.8,1060
2016-12-21,52.87,2.96,13.3,1060
2016-12-22,51.78,0.56,8.2,1080
2016-12-23,52.21,4.27,3.7,1070
2016-12-26,53.055,1.01,6.3,1070
2016-12-27,52.72,3.9,3,1060
2016-12-28,53.73,10.14,0.3,1060
2016-12-29,53.9,3.81,1.3,1060
2016-12-30,53.83,9.95,0.8,1060
2017-01-02,54.65,8.39,7.8,1060
2017-01-03,54.65,9.1,5.4,1070
2017-01-04,53.99,6.84,5.2,1100
2017-01-05,54.28,2.78,6.1,1130
2017-01-06,54.25,6.94,7.7,1130
2017-01-09,54.35,6.92,5.1,1260
2017-01-10,53.14,6.02,3.4,1260
2017-01-11,52.22,10.16,1.6,1270
2017-01-12,53.45,5.35,3.9,1270
2017-01-13,54.3,6.21,1.9,1240
2017-01-16,53.29,10.48,0.2,1250
2017-01-17,53.88,7.49,0.3,1290
2017-01-18,53.84,7.66,2.4,1290
2017-01-19,53.03,8.6,2,1290
2017-01-20,52.91,5.12,0.4,1290
2017-01-23,53.52,4.02,-2.2,1290
2017-01-24,53.98,10.3,-0.8,1300
2017-01-25,53.47,10.39,-0.4,1300
2017-01-26,53.86,10.72,1.6,1300
2017-01-31,53.22,12.02,-1.3,1300
2017-02-01,54.94,9.45,0.4,1300
2017-02-02,55.45,12.88,0.4,1330
2017-02-03,54.265,7.99,2.3,1330
2017-02-06,55.31,11.63,2.4,1330
2017-02-07,54.17,11.62,1.7,1340
2017-02-08,53.35,5.18,2.1,1340
2017-02-09,53.79,8.43,-0.5,1340
2017-02-10,53.78,6.81,-2.3,1340
2017-02-13,54.76,12.25,3,1340
2017-02-14,54.14,13.65,3.6,1360
2017-02-15,54,13.99,3.3,1360
2017-02-16,53.95,6.87,8.2,1340
2017-02-17,54.06,11.96,4.5,1330
2017-02-20,54.46,10.61,3.1,1330
2017-02-21,54.64,14.62,2.1,1330
2017-02-22,54.68,1.04,6.7,1350
2017-02-23,54.75,11.64,2.2,1340
2017-02-24,54.7,15.4,2.1,1330
2017-02-27,55.18,15.43,3.8,1330
2017-02-28,53.565,15.09,5,1330
2017-03-02,54.85,11.33,2.9,1380
2017-03-03,53.68,15.44,4.3,1420
2017-03-06,53.85,17.03,3.1,1420
2017-03-07,54.44,9.22,1,1420
2017-03-08,54.02,13.26,3.4,1400
2017-03-09,52.52,16.71,6.4,1400
2017-03-10,51.16,17.42,6.1,1400
2017-03-13,50.04,13.66,6.7,1400
2017-03-14,49.82,18.25,5.4,1400
2017-03-15,50.01,18.12,5.3,1390
2017-03-16,50.64,14.46,5,1390
2017-03-17,50.13,17.53,6.2,1390
2017-03-20,50.05,2.69,8.5,1350
2017-03-21,50.42,18.26,6.6,1350
2017-03-22,49.02,11.8,6.4,1310
2017-03-23,49.17,12.25,8.1,1320
2017-03-24,48.97,10.8,7.7,1350
2017-03-27,48.84,16.25,7.4,1390
2017-03-28,49.23,11.48,8.2,1430
2017-03-29,50.14,7.03,8.7,1560
2017-03-30,50.71,18.89,9.4,1630
2017-03-31,50.78,15.01,9.2,1630
2017-04-03,51.67,19.95,10.7,1550
2017-04-04,51.1,17.42,12.9,1520
2017-04-05,52.99,2.33,14.7,1455
2017-04-06,52.64,2.58,12.6,1435
2017-04-07,53.94,15.49,11.8,1420
2017-04-10,53.88,15.36,14.6,1320
2017-04-11,54.33,17.67,11.1,1365
2017-04-12,54.61,20.37,11.7,1375
2017-04-13,54.16,19.33,12.5,1350
2017-04-14,53.91,12.09,15.1,1310
2017-04-17,53.49,1.82,14.5,1225
2017-04-18,53.12,14.87,13.2,1215
2017-04-19,53.04,21.25,13.1,1205
2017-04-20,51.46,4.08,12.5,1205
2017-04-21,51.36,20.02,13.1,1140
2017-04-24,50.94,23.05,15.7,950
2017-04-25,50.13,13.33,17.4,880
2017-04-26,50.57,15.51,14.5,870
2017-04-27,50.02,21.36,13.3,870
2017-04-28,50.16,22.41,15.1,880
2017-05-02,53.565,19,18.4,870
2017-05-04,48.825,18.59,19.8,850
2017-05-08,48.805,12.46,17.5,940
2017-05-10,49.01,15.18,15.3,1140
2017-05-11,49.64,20.61,19.8,1220
2017-05-12,49.46,4.09,18.7,1210
2017-05-15,50.82,19.82,15.6,1120
2017-05-16,51.09,20.92,16.7,1000
2017-05-17,50.42,23.02,17.8,1000
2017-05-18,51,22.91,19.5,1000
2017-05-19,51.96,23.78,19.9,1000
2017-05-22,52.79,22.72,21.4,1010
2017-05-23,52.31,13.6,21.1,1010
2017-05-24,53.1,14.31,20.3,1010
2017-05-25,52.78,23.57,18.8,1000
2017-05-26,50.42,25.59,17.1,990
2017-05-29,50.65,22.82,22,1000
2017-05-30,50.48,17.87,22.4,1020
2017-05-31,50.09,10.29,22.4,990
2017-06-01,50.16,11.24,19.8,990
2017-06-02,48.34,24.6,19.1,970
2017-06-05,48.77,22.78,22.1,1010
2017-06-07,48.42,3.48,18,1080
2017-06-08,47.07,21.27,19.4,1160
