date,snow,price
2018-02-21,0,840
2018-02-22,0,820
2018-02-23,0.6,820
2018-02-26,0,850
2018-02-27,0,860
2018-02-28,1,860
2018-03-02,1,860
2018-03-05,8,860
2018-03-06,0,880
2018-03-07,0,880
2018-03-08,3.5,870
2018-03-09,0,870
2018-03-12,0,920
2018-03-13,0,860
2018-03-14,0,890
2018-03-15,0,880
2018-03-16,0,830
2018-03-19,0,830
2018-03-20,0,820
2018-03-21,0,840
2018-03-22,0,900
2018-03-23,0,920
2018-03-26,0,920
2018-03-27,0,910
2018-03-28,0,890
2018-03-29,0,860
2018-03-30,0,850
2018-04-02,0,850
2018-04-03,0,850
2018-04-04,0,820
2018-04-05,0,830
2018-04-06,0,790
2018-04-09,0,800
2018-04-10,0,830
2018-04-11,0,830
2018-04-12,0,840
2018-04-13,0,820
2018-04-16,0,830
2018-04-17,0,840
2018-04-18,0,810
2018-04-19,0,800
2018-04-20,0,800
2018-04-23,0,820
2018-04-24,0,820
2018-04-25,0,820
2018-04-26,0,790
2018-04-27,0,780
2018-04-30,0,800
2018-05-02,0,800
2018-05-03,0,780
2018-05-04,0,790
2018-05-08,0,720
2018-05-09,0,705
2018-05-10,0,705
2018-05-11,0,670
2018-05-14,0,663
2018-05-15,0,678
2018-05-16,0,678
2018-05-17,0,678
2018-05-18,0,675
2018-05-21,0,600
2018-05-23,0,540
2018-05-24,0,530
2018-05-25,0,530
2018-05-28,0,520
2018-05-29,0,520
2018-05-30,0,520
2018-05-31,0,510
2018-06-01,0,510
2018-06-04,0,490
2018-06-05,0,490
2018-06-07,0,490
2018-06-08,0,490
2018-06-11,0,500
2018-06-12,0,490
2018-06-14,0,550
2018-06-15,0,560
2018-06-18,0,600
2018-06-19,0,600
2018-06-20,0,590
2018-06-21,0,580
2018-06-22,0,590
2018-06-25,0,640
2018-06-26,0,650
2018-06-27,0,690
2018-06-28,0,707
2018-06-29,0,667
2018-07-02,0,687
2018-07-03,0,693
2018-07-04,0,680
2018-07-05,0,670
2018-07-06,0,660
2018-07-09,0,720
2018-07-10,0,730
2018-07-11,0,860
2018-07-12,0,880
2018-07-13,0,920
2018-07-16,0,1021
2018-07-17,0,951
2018-07-18,0,1000
2018-07-19,0,1060
2018-07-20,0,1080
2018-07-23,0,1240
2018-07-24,0,1320
2018-07-25,0,1340
2018-07-26,0,1472
2018-07-27,0,1620
2018-07-30,0,1580
2018-07-31,0,1700
2018-08-01,0,1600
2018-08-02,0,1560
2018-08-03,0,1480
2018-08-06,0,1520
2018-08-07,0,1560
2018-08-08,0,1560
2018-08-09,0,1500
2018-08-10,0,1520
2018-08-13,0,1500
2018-08-14,0,1540
2018-08-16,0,1700
2018-08-17,0,1840
2018-08-20,0,1980
2018-08-21,0,2040
2018-08-22,0,2100
2018-08-23,0,2280
2018-08-24,0,2500
2018-08-27,0,2360
2018-08-28,0,2460
2018-08-29,0,2300
2018-08-30,0,2180
2018-08-31,0,2020
2018-09-03,0,1940
2018-09-04,0,1700
2018-09-05,0,1640
2018-09-06,0,1620
2018-09-07,0,1540
2018-09-10,0,1520
2018-09-11,0,1580
2018-09-12,0,1600
2018-09-13,0,1560
2018-09-14,0,1500
2018-09-17,0,1480
2018-09-18,0,1440
2018-09-19,0,1440
2018-09-20,0,1380
2018-09-21,0,1400
2018-09-27,0,1260
2018-09-28,0,1180
2018-10-01,0,1100
2018-10-02,0,1020
2018-10-04,0,870
2018-10-05,0,910
2018-10-08,0,1000
2018-10-10,0,900
2018-10-11,0,840
2018-10-12,0,810
2018-10-15,0,807
2018-10-16,0,827
2018-10-17,0,810
2018-10-18,0,790
2018-10-19,0,810
2018-10-22,0,820
2018-10-23,0,780
2018-10-24,0,780
2018-10-25,0,780
2018-10-26,0,780
2018-10-29,0,790
2018-10-30,0,780
2018-10-31,0,780
2018-11-01,0,780
2018-11-02,0,790
2018-11-05,0,810
2018-11-06,0,830
2018-11-07,0,810
2018-11-08,0,820
2018-11-09,0,820
2018-11-12,0,760
2018-11-13,0,760
2018-11-14,0,780
2018-11-15,0,780
2018-11-16,0,720
2018-11-19,0,740
2018-11-20,0,720
2018-11-21,0,720
2018-11-22,0,700
2018-11-23,0,750
2018-11-26,0,700
2018-11-27,0,640
2018-11-28,0,660
2018-11-29,0,660
2018-11-30,0,680
2018-12-03,0,663
2018-12-04,0,650
2018-12-05,0,657
2018-12-06,0,670
2018-12-10,0,697
2018-12-11,0,697
2018-12-12,0,697
2018-12-13,0,697
2018-12-14,0,647
2018-12-17,0,610
2018-12-18,0,570
2018-12-19,0,560
2018-12-20,0,560
2018-12-21,0,560
2018-12-24,0,560
2018-12-26,0,580
2018-12-27,0,547
2018-12-28,0,547
2018-12-31,0,553
2019-01-02,0,577
2019-01-03,0,580
2019-01-04,0,570
2019-01-07,0,580
2019-01-08,0,530
2019-01-09,0,510
2019-01-10,0,510
2019-01-11,0,500
2019-01-14,0,460
2019-01-15,0,480
2019-01-16,0,478
2019-01-17,0,460
2019-01-18,0,450
2019-01-21,0,450
2019-01-22,0,440
2019-01-23,0,460
2019-01-24,0,430
2019-01-25,3.5,430
2019-01-28,0,440
2019-01-29,0,440
2019-01-30,0,440
2019-01-31,17.1,450
2019-02-01,1.3,430
2019-02-07,0,430
2019-02-08,0,420
2019-02-11,0,412
2019-02-12,0,412
2019-02-13,0,420
2019-02-14,0.5,412
2019-02-15,0,422
2019-02-18,0,400
2019-02-19,0,400
2019-02-20,0,400
2019-02-21,0,400
2019-02-22,0,408
2019-02-25,0,368
2019-02-26,0,370
2019-02-27,0,370
2019-02-28,0,360
2019-03-04,0,370
2019-03-05,0,370
2019-03-06,0,380
2019-03-07,0,380
2019-03-08,0,380
2019-03-11,0,380
