,date,sun,price
322,2016-05-04,22.91,780.0
323,2016-05-09,6.25,730.0
324,2016-05-10,2.35,730.0
325,2016-05-11,21.95,740.0
326,2016-05-12,23.72,730.0
327,2016-05-13,16.9,700.0
328,2016-05-16,21.13,680.0
329,2016-05-17,24.16,680.0
330,2016-05-18,22.67,680.0
331,2016-05-19,21.96,690.0
332,2016-05-20,23.81,690.0
333,2016-05-23,20.34,690.0
334,2016-05-24,6.52,690.0
335,2016-05-25,22.88,690.0
336,2016-05-26,16.35,730.0
337,2016-05-27,14.84,730.0
338,2016-05-30,24.0,750.0
339,2016-05-31,16.33,750.0
340,2016-06-01,20.89,730.0
341,2016-06-01,20.89,730.0
342,2016-06-02,22.58,730.0
343,2016-06-02,22.58,730.0
344,2016-06-03,17.91,730.0
345,2016-06-03,17.91,730.0
346,2016-06-07,8.77,750.0
347,2016-06-07,8.77,750.0
348,2016-06-08,15.87,760.0
349,2016-06-08,15.87,760.0
350,2016-06-09,20.86,760.0
351,2016-06-09,20.86,760.0
352,2016-06-10,20.25,760.0
353,2016-06-10,20.25,760.0
354,2016-06-13,22.17,750.0
355,2016-06-13,22.17,750.0
356,2016-06-14,19.58,750.0
357,2016-06-14,19.58,750.0
358,2016-06-15,7.07,750.0
359,2016-06-15,7.07,750.0
360,2016-06-16,13.48,750.0
361,2016-06-16,13.48,750.0
362,2016-06-17,22.74,740.0
363,2016-06-17,22.74,740.0
364,2016-06-20,5.39,700.0
365,2016-06-20,5.39,700.0
366,2016-06-21,18.64,700.0
367,2016-06-21,18.64,700.0
368,2016-06-22,3.51,700.0
369,2016-06-22,3.51,700.0
370,2016-06-23,15.7,700.0
371,2016-06-23,15.7,700.0
372,2016-06-24,8.47,700.0
373,2016-06-24,8.47,700.0
374,2016-06-27,6.28,690.0
375,2016-06-27,6.28,690.0
376,2016-06-28,9.91,690.0
377,2016-06-28,9.91,690.0
378,2016-06-29,9.74,690.0
379,2016-06-29,9.74,690.0
380,2016-06-30,11.73,690.0
381,2016-06-30,11.73,690.0
382,2016-07-01,3.61,690.0
383,2016-07-04,4.79,700.0
384,2016-07-05,13.08,700.0
385,2016-07-06,6.74,700.0
386,2016-07-07,14.29,700.0
387,2016-07-08,13.67,680.0
388,2016-07-11,8.68,680.0
389,2016-07-12,4.98,680.0
390,2016-07-13,13.9,690.0
391,2016-07-14,19.07,690.0
392,2016-07-15,19.18,690.0
393,2016-07-18,17.95,700.0
394,2016-07-19,20.69,700.0
395,2016-07-20,22.11,700.0
396,2016-07-21,22.21,700.0
397,2016-07-22,20.71,720.0
398,2016-07-25,21.97,720.0
399,2016-07-26,19.83,740.0
400,2016-07-27,12.01,740.0
401,2016-07-28,17.02,760.0
402,2016-07-29,18.35,760.0
403,2016-08-01,21.64,760.0
404,2016-08-02,9.38,750.0
405,2016-08-03,9.33,780.0
406,2016-08-04,17.27,790.0
407,2016-08-05,14.8,800.0
408,2016-08-08,20.86,810.0
409,2016-08-09,14.93,810.0
410,2016-08-10,17.58,810.0
411,2016-08-11,21.37,810.0
412,2016-08-12,21.72,810.0
413,2016-08-16,18.45,800.0
414,2016-08-17,18.31,800.0
415,2016-08-18,19.56,800.0
416,2016-08-19,16.98,800.0
417,2016-08-22,18.35,830.0
418,2016-08-23,17.12,840.0
