date,income,price
2017-02-02,148406200,1330
2017-02-03,148406200,1330
2017-02-06,148406200,1330
2017-02-07,148406200,1340
2017-02-08,148406200,1340
2017-02-09,148406200,1340
2017-02-10,148406200,1340
2017-02-13,148406200,1340
2017-02-14,148406200,1360
2017-02-15,148406200,1360
2017-02-16,148406200,1340
2017-02-17,148406200,1330
2017-02-20,148406200,1330
2017-02-21,148406200,1330
2017-02-22,148406200,1350
2017-02-23,148406200,1340
2017-02-24,148406200,1330
2017-02-27,148406200,1330
2017-02-28,148406200,1330
2017-03-02,148406200,1380
2017-03-03,148406200,1420
2017-03-06,148406200,1420
2017-03-07,148406200,1420
2017-03-08,148406200,1400
2017-03-09,148406200,1400
2017-03-10,148406200,1400
2017-03-13,148406200,1400
2017-03-14,148406200,1400
2017-03-15,148406200,1390
2017-03-16,148406200,1390
2017-03-17,148406200,1390
2017-03-20,148406200,1350
2017-03-21,148406200,1350
2017-03-22,148406200,1310
2017-03-23,148406200,1320
2017-03-24,148406200,1350
2017-03-27,148406200,1390
2017-03-28,148406200,1430
2017-03-29,148406200,1560
2017-03-30,148406200,1630
2017-03-31,148406200,1630
2017-04-03,148406200,1550
2017-04-04,148406200,1520
2017-04-05,148406200,1455
2017-04-06,148406200,1435
2017-04-07,148406200,1420
2017-04-10,148406200,1320
2017-04-11,148406200,1365
2017-04-12,148406200,1375
2017-04-13,148406200,1350
2017-04-14,148406200,1310
2017-04-17,148406200,1225
2017-04-18,148406200,1215
2017-04-19,148406200,1205
2017-04-20,148406200,1205
2017-04-21,148406200,1140
2017-04-24,148406200,950
2017-04-25,148406200,880
2017-04-26,148406200,870
2017-04-27,148406200,870
2017-04-28,148406200,880
2017-05-02,148406200,870
2017-05-04,148406200,850
2017-05-08,148406200,940
2017-05-10,148406200,1140
2017-05-11,148406200,1220
2017-05-12,148406200,1210
2017-05-15,148406200,1120
2017-05-16,148406200,1000
2017-05-17,148406200,1000
2017-05-18,148406200,1000
2017-05-19,148406200,1000
2017-05-22,148406200,1010
2017-05-23,148406200,1010
2017-05-24,148406200,1010
2017-05-25,148406200,1000
2017-05-26,148406200,990
2017-05-29,148406200,1000
2017-05-30,148406200,1020
2017-05-31,148406200,990
2017-06-01,148406200,990
2017-06-02,148406200,970
2017-06-05,148406200,1010
2017-06-07,148406200,1080
2017-06-08,148406200,1160
2017-06-09,148406200,1140
2017-06-12,148406200,1110
2017-06-13,148406200,1090
2017-06-14,148406200,1110
2017-06-15,148406200,1080
2017-06-16,148406200,1070
2017-06-19,148406200,1070
2017-06-20,148406200,1070
2017-06-21,148406200,1060
2017-06-22,148406200,1040
2017-06-23,148406200,1040
2017-06-26,148406200,1060
2017-06-27,148406200,1070
2017-06-28,148406200,1090
2017-06-29,148406200,1080
2017-06-30,148406200,1070
2017-07-03,148406200,1140
2017-07-04,148406200,1160
2017-07-05,148406200,1180
2017-07-06,148406200,1170
2017-07-07,148406200,1135
2017-07-10,148406200,1165
2017-07-11,148406200,1170
2017-07-12,148406200,1190
2017-07-13,148406200,1190
2017-07-14,148406200,1180
2017-07-17,148406200,1180
2017-07-18,148406200,1210
2017-07-19,148406200,1220
2017-07-20,148406200,1210
2017-07-21,148406200,1240
2017-07-24,148406200,1260
