date,uga,price
2017-09-22,54.66,760
2017-09-25,54.83,720
2017-09-26,56.15,670
2017-09-27,55.65,670
2017-09-28,55.55,660
2017-09-29,55.19,650
2017-10-10,54.08,650
2017-10-11,54.78,650
2017-10-12,54.97,620
2017-10-13,55.4,610
2017-10-16,55.98,490
2017-10-17,56.33,440
2017-10-18,55.92,420
2017-10-19,55.51,430
2017-10-20,55.13,440
2017-10-23,55.85,433
2017-10-24,55.28,433
2017-10-25,56.2,423
2017-10-26,56.21,423
2017-10-27,57,423
2017-10-30,58.33,415
2017-10-31,58.32,405
2017-11-01,59.61,405
2017-11-02,58.58,405
2017-11-03,58.93,435
2017-11-06,60.58,455
2017-11-07,62.39,445
2017-11-08,61.8,445
2017-11-09,61.61,425
2017-11-10,62.06,425
2017-11-13,61.63,425
2017-11-14,61.25,415
2017-11-15,60.04,410
2017-11-16,60.29,420
2017-11-17,59.66,420
2017-11-20,60.68,420
2017-11-21,60.48,430
2017-11-22,61.12,430
2017-11-23,61.13,430
2017-11-24,61.62,490
2017-11-27,61.5,480
2017-11-28,61.25,480
2017-11-29,60.97,470
2017-11-30,60.82,480
2017-12-04,60.99,450
2017-12-05,60.22,435
2017-12-06,60.72,435
2017-12-07,59.43,440
2017-12-08,60.26,460
2017-12-11,60.96,470
2017-12-12,62.52,470
2017-12-13,61.33,470
2017-12-14,60.23,455
2017-12-15,61.18,435
2017-12-18,61.28,468
2017-12-19,61.4,468
2017-12-20,61.6,468
2017-12-21,62.17,468
2017-12-22,62.37,468
2017-12-26,62.61,510
2017-12-27,63.94,490
2017-12-28,63.85,480
2017-12-29,64.33,480
2018-01-02,64.37,432
2018-01-03,64.15,459
2018-01-04,65.35,468
2018-01-05,65.33,468
2018-01-08,65.04,468
2018-01-09,65.51,469
2018-01-10,66.59,461
2018-01-11,66.5,471
2018-01-12,66.29,451
2018-01-15,67.03,440
2018-01-16,67.09,450
2018-01-17,66.27,450
2018-01-18,66.42,440
2018-01-19,65.95,440
2018-01-22,66.09,440
2018-01-23,66.49,440
2018-01-24,66.86,440
2018-01-25,67.98,440
2018-01-26,67.4,440
2018-01-29,67.55,480
2018-01-30,66.38,525
2018-01-31,65.77,575
2018-02-01,66.12,575
2018-02-02,67.02,670
2018-02-05,65.07,830
2018-02-06,64.25,930
2018-02-07,64.05,950
2018-02-08,62.26,970
2018-02-09,61.12,930
2018-02-12,60.29,880
2018-02-13,59.84,830
2018-02-14,59.4,820
2018-02-19,61.77,810
2018-02-20,62.05,810
2018-02-21,61.3,800
2018-02-22,61.6,810
2018-02-23,62.77,810
2018-02-26,63.9,810
2018-02-27,64.02,820
2018-02-28,63.22,880
2018-03-02,60.28,980
2018-03-05,61.32,940
2018-03-06,62.04,910
2018-03-07,61.61,890
2018-03-08,60.8,900
2018-03-09,60.28,880
2018-03-12,61.71,950
2018-03-13,61.25,990
2018-03-14,61.23,880
2018-03-15,61.45,890
2018-03-16,61.74,900
2018-03-19,62.48,880
2018-03-20,62.98,890
2018-03-21,63.89,940
2018-03-22,65.44,1010
2018-03-23,65.33,970
2018-03-26,65.97,990
2018-03-27,65.83,990
2018-03-28,65.24,970
2018-03-29,65.33,920
2018-03-30,61.72,900
2018-04-02,66.79,890
2018-04-03,65.16,880
2018-04-04,64.7,880
2018-04-05,65.38,870
2018-04-06,65.37,910
2018-04-09,64.7,980
2018-04-10,66.51,980
2018-04-11,67.58,980
2018-04-12,68.63,950
2018-04-13,69.04,940
2018-04-16,68.18,940
2018-04-17,68.23,1010
2018-04-18,68.81,1010
2018-04-19,70.75,1000
2018-04-20,70.42,1010
2018-04-23,70.29,1070
2018-04-24,71.24,1070
2018-04-25,70.36,1170
2018-04-26,70.63,1230
2018-04-27,70.88,1240
2018-04-30,70.05,1270
2018-05-02,70.25,1310
2018-05-03,70.54,1290
2018-05-04,70.47,1340
2018-05-08,72.48,1330
2018-05-09,73.93,1260
2018-05-10,74.73,1260
2018-05-11,74.46,1260
2018-05-14,73.77,1225
2018-05-15,75.3,1285
2018-05-16,75.1,1280
2018-05-17,76.67,1270
2018-05-18,77.06,1210
2018-05-21,76.43,1125
2018-05-23,76.65,1030
2018-05-24,77.03,995
2018-05-25,75.78,955
2018-05-28,73.24,935
2018-05-29,70.34,935
2018-05-30,73.53,935
2018-05-31,75.45,940
2018-06-01,75.11,710
2018-06-04,74.4,690
2018-06-05,73.61,710
2018-06-07,73.58,730
2018-06-08,74.87,730
2018-06-11,74.36,710
2018-06-12,74.75,710
2018-06-14,74.31,656
2018-06-15,70.34,653
2018-06-18,70.97,620
2018-06-19,72.07,620
2018-06-20,72.65,630
2018-06-21,71.25,620
2018-06-22,71.77,620
2018-06-25,72.81,600
2018-06-26,73.03,650
2018-06-27,74.36,710
2018-06-28,75.19,720
2018-06-29,75.86,710
2018-07-02,75.57,730
2018-07-03,74.77,720
2018-07-04,75.07,690
2018-07-05,74.92,660
2018-07-06,74.18,630
2018-07-09,74.67,650
2018-07-10,76,660
2018-07-11,74.75,740
2018-07-12,72.56,720
2018-07-13,71.65,720
2018-07-16,72.95,790
2018-07-17,70.36,830
2018-07-18,69.68,870
2018-07-19,70.41,920
2018-07-20,71.52,960
2018-07-23,71.5,990
2018-07-24,71.59,980
2018-07-25,72.49,990
2018-07-26,73.41,1080
2018-07-27,73.42,1270
2018-07-30,73.38,1290
2018-07-31,73.69,1266
2018-08-01,72.42,1260
2018-08-02,71.14,1270
2018-08-03,71.93,1240
2018-08-06,72.11,1370
2018-08-07,72.65,1360
2018-08-08,73.28,1430
2018-08-09,70.34,1350
2018-08-10,70.55,1330
2018-08-13,71.25,1270
2018-08-14,71.79,1220
2018-08-16,69.6,1220
2018-08-17,70.38,1230
2018-08-20,70.81,1180
2018-08-21,71.11,1210
2018-08-22,72.405,1320
2018-08-23,73.14,1490
2018-08-24,74,1670
2018-08-27,74.41,1480
2018-08-28,75.02,1640
2018-08-29,74.34,1540
2018-08-30,75.76,1460
2018-08-31,75.85,1420
2018-09-03,76.18,1350
2018-09-04,76.88,1380
2018-09-05,75.83,1330
2018-09-06,75.31,1310
2018-09-07,74.73,1290
2018-09-10,75.83,1270
2018-09-11,76.22,1260
2018-09-12,77.45,1290
2018-09-13,77.2,1290
2018-09-14,76.31,1270
2018-09-17,76.43,1280
2018-09-18,75.85,1220
2018-09-19,77.02,1230
2018-09-20,77.53,1290
2018-09-21,77.35,1350
2018-09-27,80.36,1330
2018-09-28,80.03,1230
2018-10-01,80.83,1100
2018-10-02,82.88,980
2018-10-04,84.44,860
2018-10-05,83.2,940
2018-10-08,81.61,920
2018-10-10,83.04,860
2018-10-11,80.66,820
2018-10-12,79.36,820
2018-10-15,79.3,740
2018-10-16,78.83,740
2018-10-17,80.23,700
2018-10-18,78.43,740
2018-10-19,77.88,730
2018-10-22,78.78,670
2018-10-23,77.83,650
2018-10-24,74.42,620
2018-10-25,74.96,560
2018-10-26,75.42,520
2018-10-29,76.01,545
2018-10-30,76.18,530
2018-10-31,75.66,540
2018-11-01,73.38,525
2018-11-02,71.67,520
2018-11-05,71.2,510
2018-11-06,70.34,500
2018-11-07,70.64,490
2018-11-08,71.54,490
2018-11-09,69.36,490
2018-11-12,70.59,490
2018-11-13,68.48,470
2018-11-14,64.46,470
2018-11-15,65.39,470
2018-11-16,66.49,450
2018-11-19,66.17,440
2018-11-20,65.51,430
2018-11-21,62.65,390
2018-11-22,62.44,380
2018-11-23,61.08,420
2018-11-26,59.13,420
2018-11-27,59.07,385
2018-11-28,60.18,360
2018-11-29,58.3,350
2018-11-30,59.02,360
2018-12-03,61.19,410
2018-12-04,61.54,410
2018-12-05,59.81,410
2018-12-06,59.85,420
2018-12-10,60.22,430
2018-12-11,58.37,430
2018-12-12,59.23,430
2018-12-13,58.81,420
2018-12-14,59.67,400
2018-12-17,58.92,425
2018-12-18,57.21,425
2018-12-19,55.05,420
2018-12-20,54.47,395
2018-12-21,53.51,380
2018-12-24,51.515,380
2018-12-26,49.52,375
2018-12-27,53.07,380
2018-12-28,52.86,380
2018-12-31,53.07,380
2019-01-02,51.86,400
2019-01-03,53.2,410
2019-01-04,55.59,470
2019-01-07,56.79,450
2019-01-08,56.18,410
2019-01-09,58.07,370
2019-01-10,59.6,375
2019-01-11,61.16,375
2019-01-14,58.92,357
2019-01-15,58.63,360
2019-01-16,60.15,358
2019-01-17,60.03,358
2019-01-18,61.12,368
2019-01-21,61.88,378
2019-01-22,61.43,390
2019-01-23,61.23,405
2019-01-24,60.41,400
2019-01-25,61.16,405
2019-01-28,60.32,405
2019-01-29,59.44,440
2019-01-30,60.93,440
2019-01-31,61.82,440
2019-02-01,60.87,430
2019-02-07,62.51,430
2019-02-08,61.62,394
2019-02-11,62.02,406
2019-02-12,62.23,406
2019-02-13,63.34,416
2019-02-14,65.32,406
2019-02-15,65.12,405
2019-02-18,66.73,410
2019-02-19,66.48,440
2019-02-20,66.38,415
2019-02-21,67.12,415
2019-02-22,67.22,418
2019-02-25,66.84,433
2019-02-26,64.56,418
2019-02-27,65.3,408
2019-02-28,65.98,408
2019-03-04,65.36,410
2019-03-05,65.73,380
2019-03-06,65.85,380
2019-03-07,66.47,380
2019-03-08,65.77,390
2019-03-11,66.81,385
2019-03-12,67.15,410
2019-03-13,67.22,412
2019-03-14,68.17,412
2019-03-15,67.71,390
2019-03-18,67.32,380
2019-03-19,67.63,370
2019-03-20,67.67,360
2019-03-21,68.23,360
2019-03-22,67.46,360
2019-03-25,66.34,360
2019-03-26,67.17,360
2019-03-27,67.37,360
2019-03-28,66.56,360
2019-03-29,67.23,360
2019-04-01,68.23,385
2019-04-02,68.81,395
2019-04-03,69.43,378
2019-04-04,68.67,357
2019-04-05,68.82,363
2019-04-08,70.29,358
2019-04-09,70.53,358
2019-04-10,70.08,358
2019-04-11,70.52,388
2019-04-12,70.1,428
2019-04-15,70.32,428
2019-04-16,70.21,410
2019-04-17,71.33,405
2019-04-18,71.07,405
2019-04-19,71.5,414
2019-04-22,73.36,414
2019-04-23,73.77,414
2019-04-24,73.67,419
2019-04-25,74.46,410
2019-04-26,73.45,455
2019-04-29,71.09,485
2019-04-30,71.63,480
2019-05-02,71.43,488
2019-05-03,69.93,485
2019-05-07,70.29,503
2019-05-08,69.28,488
2019-05-09,69.09,485
2019-05-10,70.1,478
2019-05-13,70.97,478
2019-05-14,69.7,458
2019-05-15,70.46,465
2019-05-16,72.04,460
2019-05-17,72.46,460
2019-05-20,71,449
2019-05-21,71.64,415
2019-05-22,71.23,402
2019-05-23,69.22,415
2019-05-24,66.73,412
2019-05-27,66.88,438
2019-05-28,68.31,429
2019-05-29,67.13,433
2019-05-30,67.12,433
2019-05-31,63.83,433
2019-06-03,60.17,400
2019-06-04,60.03,430
2019-06-05,60.685,430
2019-06-07,61.2,487
2019-06-10,61.92,487
2019-06-11,61.28,487
2019-06-12,59.9,490
2019-06-13,60.28,470
2019-06-14,59.9,470
2019-06-17,60.74,430
2019-06-18,59.92,430
2019-06-19,61.22,430
2019-06-20,62.61,430
2019-06-21,64.22,445
2019-06-24,64.02,460
2019-06-25,63.38,460
2019-06-26,64.29,440
2019-06-27,64.42,490
2019-06-28,64.88,510
2019-07-01,64.92,460
2019-07-02,63.43,460
2019-07-03,60.62,450
2019-07-04,61.75,440
2019-07-05,61.62,440
2019-07-08,63.32,460
2019-07-09,62.63,480
2019-07-10,63.9,510
2019-07-11,65.95,640
2019-07-12,65.88,595
2019-07-15,65.22,500
2019-07-16,64.58,490
2019-07-17,63.23,465
2019-07-18,62.14,440
2019-07-19,61.55,460
2019-07-22,62.74,520
2019-07-23,62.11,450
2019-07-24,63.21,440
2019-07-25,63.03,410
2019-07-26,62.83,400
2019-07-29,62.53,398
2019-07-30,63.63,380
