date,place,gangsu,price
2017-04-05,100,6.8,910
2017-04-06,100,5.5,870
2017-04-07,100,,850
2017-04-10,100,,800
2017-04-11,100,3.5,840
2017-04-12,100,,750
2017-04-13,100,,740
2017-04-14,100,5.8,740
2017-04-17,100,16.3,720
2017-04-18,100,8.4,720
2017-04-19,100,,740
2017-04-20,100,0.1,740
2017-04-21,100,3.3,740
2017-04-24,100,,740
2017-04-25,100,,710
2017-04-26,100,,700
2017-04-27,100,,700
2017-04-28,100,,680
2017-05-02,100,,535
2017-05-04,100,,550
2017-05-08,100,,565
2017-05-10,100,0.5,565
2017-05-11,100,,400
2017-05-12,100,,400
2017-05-15,100,,370
2017-05-16,100,,380
2017-05-17,100,,380
2017-05-18,100,,370
2017-05-19,100,,390
2017-05-22,100,,430
2017-05-23,100,0.2,430
2017-05-24,100,12.8,430
2017-05-25,100,,430
2017-05-26,100,,430
2017-05-29,100,,350
2017-05-30,100,,390
2017-05-31,100,,370
2017-06-01,100,17.5,360
2017-06-02,100,,390
2017-06-05,100,0.1,430
2017-06-07,100,6.3,520
2017-06-08,100,,520
2017-06-09,100,0.1,530
2017-06-12,100,,470
2017-06-13,100,0.2,450
2017-06-14,100,,450
2017-06-15,100,,440
2017-06-16,100,,430
2017-06-19,100,,470
2017-06-20,100,,470
2017-06-21,100,0,470
2017-06-22,100,,530
2017-06-23,100,,580
2017-06-26,100,1.3,550
2017-06-27,100,0,560
2017-06-28,100,,560
2017-06-29,100,29.8,560
2017-06-30,100,,540
2017-07-03,100,50.4,600
2017-07-04,100,18.8,610
2017-07-05,100,,630
2017-07-06,100,,580
2017-07-07,100,2,560
2017-07-10,100,19.2,624
2017-07-11,100,21.9,670
2017-07-12,100,,780
2017-07-13,100,,790
2017-07-14,100,,790
2017-07-17,100,,890
2017-07-18,100,,910
2017-07-19,100,,910
2017-07-20,100,,930
2017-07-21,100,,890
2017-07-24,100,3.8,1020
2017-07-25,100,6.2,1020
2017-07-26,100,0.9,1130
2017-07-27,100,,1130
2017-07-28,100,1.9,1090
2017-07-31,100,3.1,1210
2017-08-01,100,,1195
2017-08-02,100,,1220
2017-08-03,100,,1260
2017-08-04,100,,1245
2017-08-07,100,4.5,1260
2017-08-08,100,,1255
2017-08-09,100,5.2,1290
2017-08-10,100,32.4,1370
