date,gangsu,price
2018-02-19,,810
2018-02-20,,810
2018-02-21,,800
2018-02-22,,810
2018-02-23,0,810
2018-02-26,,810
2018-02-27,,820
2018-02-28,16,880
2018-03-02,,980
2018-03-05,6.9,940
2018-03-06,,910
2018-03-07,7.6,890
2018-03-08,17.6,900
2018-03-09,,880
2018-03-12,,950
2018-03-13,,990
2018-03-14,,880
2018-03-15,28,890
2018-03-16,,900
2018-03-19,17.1,880
2018-03-20,0.8,890
2018-03-21,4.8,940
2018-03-22,,1010
2018-03-23,,970
2018-03-26,,990
2018-03-27,,990
2018-03-28,,970
2018-03-29,,920
2018-03-30,,900
2018-04-02,,890
2018-04-03,,880
2018-04-04,8,880
2018-04-05,17.4,870
2018-04-06,24.9,910
2018-04-09,,980
2018-04-10,0.1,980
2018-04-11,13.8,980
2018-04-12,,950
2018-04-13,,940
2018-04-16,,940
2018-04-17,,1010
2018-04-18,,1010
2018-04-19,,1000
2018-04-20,,1010
2018-04-23,44.5,1070
2018-04-24,6.1,1070
2018-04-25,,1170
2018-04-26,,1230
2018-04-27,,1240
2018-04-30,,1270
2018-05-02,3.2,1310
2018-05-03,0,1290
2018-05-04,,1340
2018-05-08,,1330
2018-05-09,,1260
2018-05-10,,1260
2018-05-11,,1260
2018-05-14,,1225
2018-05-15,0,1285
2018-05-16,0.1,1280
2018-05-17,,1270
2018-05-18,1.1,1210
2018-05-21,,1125
2018-05-23,15.2,1030
2018-05-24,,995
2018-05-25,,955
2018-05-28,,935
2018-05-29,,935
2018-05-30,,935
2018-05-31,,940
2018-06-01,,710
2018-06-04,,690
2018-06-05,0,710
2018-06-07,,730
2018-06-08,,730
2018-06-11,26.4,710
2018-06-12,15.2,710
2018-06-14,,656
2018-06-15,,653
2018-06-18,,620
2018-06-19,1.1,620
2018-06-20,,630
2018-06-21,,620
2018-06-22,,620
2018-06-25,,600
2018-06-26,2.8,650
2018-06-27,117.1,710
2018-06-28,49.5,720
2018-06-29,0.8,710
2018-07-02,28.2,730
2018-07-03,0.1,720
2018-07-04,,690
2018-07-05,6.9,660
2018-07-06,0.7,630
2018-07-09,2.1,650
2018-07-10,,660
2018-07-11,,740
2018-07-12,,720
2018-07-13,,720
2018-07-16,,790
2018-07-17,,830
2018-07-18,,870
2018-07-19,,920
2018-07-20,,960
2018-07-23,,990
2018-07-24,,980
2018-07-25,,990
2018-07-26,,1080
2018-07-27,,1270
2018-07-30,,1290
2018-07-31,,1266
2018-08-01,,1260
2018-08-02,,1270
2018-08-03,,1240
2018-08-06,,1370
2018-08-07,90.7,1360
2018-08-08,,1430
2018-08-09,,1350
2018-08-10,1.8,1330
2018-08-13,,1270
2018-08-14,,1220
2018-08-16,0,1220
2018-08-17,,1230
2018-08-20,,1180
2018-08-21,,1210
2018-08-22,,1320
2018-08-23,32.3,1490
2018-08-24,8,1670
2018-08-27,97.5,1480
2018-08-28,0.5,1640
2018-08-29,,1540
2018-08-30,8.9,1460
2018-08-31,37.8,1420
2018-09-03,4.2,1350
2018-09-04,48.5,1380
2018-09-05,,1330
2018-09-06,0.1,1310
2018-09-07,10.3,1290
2018-09-10,,1270
2018-09-11,,1260
2018-09-12,,1290
2018-09-13,0.9,1290
2018-09-14,1.3,1270
2018-09-17,0.2,1280
2018-09-18,,1220
2018-09-19,,1230
2018-09-20,0.7,1290
2018-09-21,20,1350
2018-09-27,,1330
2018-09-28,,1230
2018-10-01,0.7,1100
2018-10-02,,980
2018-10-04,0.5,860
2018-10-05,30.6,940
2018-10-08,,920
2018-10-10,3.8,860
2018-10-11,,820
2018-10-12,,820
2018-10-15,,740
2018-10-16,,740
2018-10-17,,700
2018-10-18,,740
2018-10-19,,730
2018-10-22,,670
2018-10-23,0.5,650
2018-10-24,,620
2018-10-25,,560
2018-10-26,7.3,520
2018-10-29,0.7,545
2018-10-30,,530
2018-10-31,,540
2018-11-01,,525
2018-11-02,,520
2018-11-05,,510
2018-11-06,,500
2018-11-07,3.6,490
2018-11-08,21.1,490
2018-11-09,0.3,490
2018-11-12,1.6,490
2018-11-13,,470
2018-11-14,,470
2018-11-15,,470
2018-11-16,1.2,450
2018-11-19,,440
2018-11-20,,430
2018-11-21,,390
2018-11-22,,380
2018-11-23,,420
2018-11-26,0,420
2018-11-27,,385
2018-11-28,,360
2018-11-29,,350
2018-11-30,,360
2018-12-03,7.7,410
2018-12-04,15.7,410
2018-12-05,,410
2018-12-06,4.6,420
2018-12-10,,430
2018-12-11,1.5,430
2018-12-12,,430
2018-12-13,0.1,420
2018-12-14,,400
2018-12-17,0.5,425
2018-12-18,,425
2018-12-19,,420
2018-12-20,,395
2018-12-21,,380
2018-12-24,,380
2018-12-26,,375
2018-12-27,,380
2018-12-28,,380
2018-12-31,,380
2019-01-02,0,400
2019-01-03,,410
2019-01-04,,470
2019-01-07,,450
2019-01-08,,410
2019-01-09,,370
2019-01-10,,375
2019-01-11,,375
2019-01-14,,357
2019-01-15,,360
2019-01-16,,358
2019-01-17,,358
2019-01-18,,368
2019-01-21,,378
2019-01-22,,390
2019-01-23,,405
2019-01-24,,400
2019-01-25,,405
2019-01-28,,405
2019-01-29,,440
2019-01-30,,440
2019-01-31,10.5,440
2019-02-01,,430
2019-02-07,,430
2019-02-08,,394
2019-02-11,,406
2019-02-12,,406
2019-02-13,,416
2019-02-14,,406
2019-02-15,,405
2019-02-18,0.4,410
2019-02-19,20.9,440
2019-02-20,,415
2019-02-21,,415
2019-02-22,,418
2019-02-25,,433
2019-02-26,,418
2019-02-27,1.7,408
2019-02-28,,408
2019-03-04,,410
2019-03-05,,380
2019-03-06,,380
2019-03-07,,380
2019-03-08,,390
2019-03-11,2.5,385
2019-03-12,0.3,410
2019-03-13,,412
2019-03-14,,412
2019-03-15,4,390
2019-03-18,,380
2019-03-19,,370
2019-03-20,10.6,360
2019-03-21,0.9,360
2019-03-22,,360
2019-03-25,,360
2019-03-26,,360
2019-03-27,,360
2019-03-28,,360
2019-03-29,,360
2019-04-01,0.7,385
2019-04-02,,395
2019-04-03,,378
2019-04-04,,357
2019-04-05,,363
2019-04-08,,358
2019-04-09,30.7,358
2019-04-10,1.4,358
2019-04-11,,388
2019-04-12,0,428
2019-04-15,,428
2019-04-16,,410
2019-04-17,,405
2019-04-18,,405
2019-04-19,,414
2019-04-22,,414
2019-04-23,3.9,414
2019-04-24,,419
2019-04-25,7.5,410
2019-04-26,1.1,455
2019-04-29,32.5,485
2019-04-30,0.3,480
2019-05-02,,488
2019-05-03,,485
2019-05-07,,503
2019-05-08,,488
2019-05-09,,485
2019-05-10,,478
2019-05-13,,478
2019-05-14,0,458
2019-05-15,,465
2019-05-16,,460
2019-05-17,5.9,460
2019-05-20,2.9,449
2019-05-21,,415
2019-05-22,,402
2019-05-23,,415
2019-05-24,,412
2019-05-27,13.9,438
2019-05-28,,429
2019-05-29,,433
2019-05-30,0,433
2019-05-31,0.5,433
2019-06-03,,400
2019-06-04,,430
2019-06-05,,430
2019-06-07,6.5,487
2019-06-10,6.2,487
2019-06-11,16.8,487
2019-06-12,,490
2019-06-13,,470
2019-06-14,13,470
2019-06-17,,430
2019-06-18,0,430
2019-06-19,,430
2019-06-20,,430
2019-06-21,,445
